name,cas,vendor,sku,concentration,hazard,notes
NEST 96 2mL Deep Well Plate,,Opentrons,,,,Labware referenced by protocol 3d02be
NEST 96 Deepwell Plate 2mL,,Opentrons,,,,Labware referenced by protocol 979d28
NEST 96 Deepwell Plate 2mL #503001,,Opentrons,,,,Labware referenced by protocol 0f3b60
NEST 96 Well 100 uL PCR Plate,,Opentrons,,,,Labware referenced by protocol 6d7fc3-part-3
NEST 96 Well Plate,,Opentrons,,,,Labware referenced by protocol onsite-ganda-1
NEST 96 Well Plate 100 µL PCR Full Skirt,,Opentrons,,,,Labware referenced by protocol 211a24
NEST 96 Well Plate 100 µL PCR Full Skirt #402501,,Opentrons,,,,Labware referenced by protocol 0f3b60
NEST 96 Well Plate Flat,,Opentrons,,,,Labware referenced by protocol onsite-bms
NEST 96 Wellplate 2mL,,Opentrons,,,,Labware referenced by protocol sci-omegabiotek-magbind
"NEST 96-Deep Well Plate, 2mL",,Opentrons,,,,Labware referenced by protocol gna_octea
"NEST 96-Well PCR Plate, 100µL",,Opentrons,,,,Labware referenced by protocol standard-biotools-da-96
NEST 96-Well PCR Plates,,Opentrons,,,,Labware referenced by protocol 657ee9-3
NEST 96-Well Plate,,Opentrons,,,,Labware referenced by protocol 3d942d
NEST PCR 8-Strip Tubes 0.2ml #403022,,Opentrons,,,,Labware referenced by protocol 13ac78
Nest 12 Well Reservoir,,Opentrons,,,,Labware referenced by protocol 08fd01-pt2
Nest 12 Well Reservoir 15mL,,Opentrons,,,,Labware referenced by protocol 0bf4f4-pt3
"Nest 12 Well Reservoir, 195mL",,Opentrons,,,,Labware referenced by protocol 5c50d9
Nest 195 mL Reservoir,,Opentrons,,,,Labware referenced by protocol 30450c
Nest 96 well plate full skirt,,Opentrons,,,,Labware referenced by protocol sci-roche-hyperprep
Nest 96 well plate full skirt 100 µL,,Opentrons,,,,Labware referenced by protocol bms-illumina-dna-prep
"New Custom 96 Well Plate with AB Gene and NEST 96 well plate with samples, slot 2",,Opentrons,,,,Labware referenced by protocol ff5763_part5
New [NEST 2ml Deep Well Plate](https://shop.opentrons.com/nest-2-ml-96-well-deep-well-plate-v-bottom/) in slot 3,,Opentrons,,,,Labware referenced by protocol ff5763_part4
Nextera XT DNA Library Prep Kit,,,,,,Used in protocol illumina-nextera-XT-library-prep-part2 (Nextera XT DNA Library Prep Kit Protocol: Part 2/4 - Clean Up Libraries)
Nick is working on auto-filling these sections from the protocol (3/28/2021),,,,,,Used in protocol sci-roche-hyperprep (Roche HyperPrep)
Nuclear counterstain,,,,,,Used in protocol 357404 (Slide Sample Antibody Staining)
Nuclease Free Water,,,,,,Used in protocol 3308b4 (PCR/qPCR Prep)
"Nuclease Free Water, PCR Tubes in slot 1 column 1,",,,,,,"Used in protocol ff5763_part4 (Illumina DNA Prep Part 4, Clean Up Libraries 1)"
Nuclease-Free Water,,,,,,Used in protocol 0e525c (droplet digital PCR Prep)
Nunc™ 96-Well Polypropylene Storage Microplates,,Opentrons,,,,Labware referenced by protocol 698b9e-part2
"OT-2 Filter Tips, 200µL",,Opentrons,,,,Labware referenced by protocol 0ff0c3
"OT-2 Filter Tips, 200µL (999-00081)",,Opentrons,,,,Labware referenced by protocol 0e525c
"OT-2 Filter Tips, 20µL (999-00099)",,Opentrons,,,,Labware referenced by protocol 0e525c
Olink® Target 48,,,,,,Used in protocol 2aee74-48-3 (Olink® Target 48 Part 3/3: Detection)
Olink® Target 96,,,,,,Used in protocol 2aee74-96-2 (Olink® Target 96 Part 2/3: Extension)
Omega Mag-Bind® Total RNA 96 Kit,,,,,,Used in protocol 979d28 (Omega Mag-Bind® Total RNA Isolation)
Oncomine Focus Assay,,,,,,Used in protocol 657ee9-3 (Oncomine Focus Assay - Pt 3: Ligate Adapters)
OpenArray Mastermix,,,,,,Used in protocol 3d942d (Custom PCR Setup from CSV)
"Opentrons 10 Tube Rack with Falcon 4x50 mL, 6x15 mL Conical",,Opentrons,,,,Labware referenced by protocol 00c517-pt2
Opentrons 1000uL Tips,,Opentrons,,,,Labware referenced by protocol 00bbd7
Opentrons 1000ul Tips,,Opentrons,,,,Labware referenced by protocol onsite-bms
Opentrons 1000ul tips,,Opentrons,,,,Labware referenced by protocol 528c16
