name,cas,vendor,sku,concentration,hazard,notes
Opentrons Nest 1 well Reservoir 290 mL,,Opentrons,,,,Labware referenced by protocol 029f5b
Opentrons Temperature Module,,Opentrons,,,,Labware referenced by protocol 0479ad-part-3
Opentrons Temperature Module (https://shop.opentrons.com/modules/),,Opentrons,,,,Labware referenced by protocol 11bb6a-part-2
Opentrons Tips for the p300 (https://shop.opentrons.com),,Opentrons,,,,Labware referenced by protocol 30450c
"Opentrons Tough 0.2 mL 96-Well PCR Plate, Full Skirt",,Opentrons,,,,Labware referenced by protocol 0ff0c3
Opentrons Tube Rack,,Opentrons,,,,Labware referenced by protocol 3d942d
Opentrons aluminum block set,,Opentrons,,,,Labware referenced by protocol bms-illumina-dna-prep
Opentrons custom 4x6 3D printed tube racks,,Opentrons,,,,Labware referenced by protocol 3b0db0
Opentrons tuberacks,,Opentrons,,,,Labware referenced by protocol 357404
Opentrons tubes & vials,,Opentrons,,,,Labware referenced by protocol 357404
Opentrons x Gold Standard 17 Tube Rack,,Opentrons,,,,Labware referenced by protocol gsdx
Oxford Nanopore Technologies16S Barcoding Kit #SQK-RAB204,,,,,,Used in protocol 277a3d (Oxford Nanopore Technologies 16S Barcoding NGS Prep)
"PCR Strip Tubes for Tagmentation Stop Buffer (TSB) in slot 1, row 5",,Opentrons,,,,Labware referenced by protocol ff5763_part2
PCR tube strips,,Opentrons,,,,Labware referenced by protocol 3b0db0
PRL tuberack for 32 15 mL tubes,,Opentrons,,,,Labware referenced by protocol 022548-2
"Perkin Elmer 110ul 384 well plate, flat",,Opentrons,,,,Labware referenced by protocol 7aad4e
PhenoPlate 384 Well Plate 145 µL #6057302,,Opentrons,,,,Labware referenced by protocol 01a6b9
PhenoPlate 96 Well Plate 425 µL #6055302,,Opentrons,,,,Labware referenced by protocol 01a6b9
Phosphate buffered saline (PBS),,,,,,Used in protocol 357404 (Slide Sample Antibody Staining)
Preamp Mastermix,,,,,,Used in protocol 3d942d (Custom PCR Setup from CSV)
Quantgene 96 Aluminum Block 200 µL,,Opentrons,,,,Labware referenced by protocol 0cded6-tagment
RB1,,,,,,Used in protocol gna_octea (Automated Sample Prep for GNA Octea)
ROAR_printed_ 48 Well Plate 1500 µL,,Opentrons,,,,Labware referenced by protocol 041adf
"RSB, PCR Tubes in slot 1 column 3 (32ul per sample per column)",,,,,,"Used in protocol ff5763_part5 (Illumina DNA Prep Part 5, Clean Up Libraries 2)"
Reliance One Step Mulitplex RT-qPCR supermix,,,,,,Used in protocol 3b0db0 (Temperature Controlled PCR Prep With Tube Strips)
SPL 96-Well Cell Culture Plates (Round Bottom),,Opentrons,,,,Labware referenced by protocol 1adec6-2
SPR Wash Buffer,,,,,,Used in protocol 3308b4 (PCR/qPCR Prep)
"Sarstedt PCR plate full skirt, 96 well, transparent, Low Profile, 100 µl",,Opentrons,,,,Labware referenced by protocol 32207e
Selected 96-well PCR plate ([see parameter dropdown list below] https://labware.opentrons.com/),,Opentrons,,,,Labware referenced by protocol 11bb6a-part-2
Silicon Wafer with Opentrons Labware Adapter,,Opentrons,,,,Labware referenced by protocol 4d9b8b
Standard BioTools 96.96 Dynamic Array IFC,,Opentrons,,,,Labware referenced by protocol standard-biotools-da-96
Stellar Scientific 96 well plate,,Opentrons,,,,Labware referenced by protocol 300073-2
SuperScript™ III Real Time PCR Kit,,,,,,Used in protocol 5fa647 (SuperScript™ III: qRT-PCR Prep with CSV File)
Swift Normalase Amplicon Panels (SNAP),,,,,,Used in protocol 74841a-2 (Swift Normalase Amplicon Panels (SNAP): Size Selection and Cleanup Part 2/2)
"Tagmentation Stop Buffer (TSB) in PCR tubes, slot 1 row 1",,,,,,"Used in protocol ff5763_part2 (Illumina DNA Prep Part 2, Post-Tagmentation Clean Up)"
"Tagmentation Wash Buffer (TWB) in slot 5 well 1, 300ul per sample",,,,,,"Used in protocol ff5763_part2 (Illumina DNA Prep Part 2, Post-Tagmentation Clean Up)"
Thermo Fisher 96 Well Plate 200 µL #AB-3396,,Opentrons,,,,Labware referenced by protocol 00f7b1_part6
Thermo Fisher Dynabeads™ Protein A,,,,,,Used in protocol sci-dynabeads-ip-1 (Dynabeads for IP Reagent-In-Plate Part 1)
Thermo Fisher Dynabeads™ Protein G,,,,,,Used in protocol sci-dynabeads-ip-1 (Dynabeads for IP Reagent-In-Plate Part 1)
Thermo Fisher Kingfisher 96 deepwell plate 2 mL,,Opentrons,,,,Labware referenced by protocol 022548-2
Thermo Fisher Nunc™ 96-Well Polypropylene Storage Microplates,,Opentrons,,,,Labware referenced by protocol sci-phytip-protein-puri
Thermo Scientific 96 Well Plate V Bottom 450 uL #249944/249946,,Opentrons,,,,Labware referenced by protocol sci-phytip-neutralization
ThermoFisher 96 Well 0.8mL Polypropylene Deepwell Storage Plate,,Opentrons,,,,Labware referenced by protocol 516336
ThermoFisher 96 Well PCR Plate 300 uL Semi-Skirted,,Opentrons,,,,Labware referenced by protocol 0479ad-part-3
ThermoFisher MagMax Viral/Pathogen Kit,,,,,,Used in protocol 13ac78 (Custom 384-Well Plate PCR Prep)
"ThermoFisher MicroAmp™ Fast Optical 96-Well Reaction Plate, 0.1 mL",,Opentrons,,,,Labware referenced by protocol 60d861-3
ThermoFisher MicroAmp™ Optical 384-Well Reaction Plate #4343370,,Opentrons,,,,Labware referenced by protocol 13ac78
ThermoFisher Scientific SuperScript™ IV VILO™ Master Mix #11756500,,,,,,"Used in protocol 60d861-3 (CYP Induction, Part 3/3)"
ThermoFisher Scientific mRNA Catcher™ PLUS Purification Kit #K157003,,,,,,"Used in protocol 60d861-3 (CYP Induction, Part 3/3)"
ThermoFisher TaqMan Fast Advanced Master Mix,,,,,,Used in protocol 13ac78 (Custom 384-Well Plate PCR Prep)
Thermofisher 384 well plate,,Opentrons,,,,Labware referenced by protocol 0a33e8
Thermofisher 96 Well Plate 300 µL #167008,,Opentrons,,,,Labware referenced by protocol 00222e-seed
Thermofisher 96 well plate,,Opentrons,,,,Labware referenced by protocol 0a33e8
Thomas Sci LabForce 96 Well Plate 200ul,,Opentrons,,,,Labware referenced by protocol 3d02be
Tuberack 24 Well Plate 1500 µL,,Opentrons,,,,Labware referenced by protocol 0f0850
USA Scientific 12 Well Reservoir 22 mL,,Opentrons,,,,Labware referenced by protocol 0479ad-part-3
USA Scientific 12 Well Reservoir 22 mL #1061-8150,,Opentrons,,,,Labware referenced by protocol macherey-nagel-nucleomag-pathogen
VHB Buffer,,,,,,Used in protocol 3308b4 (PCR/qPCR Prep)
"VWR® PCR Plates, 96-Well 200ul #83007-374",,Opentrons,,,,Labware referenced by protocol 979d28-normalization
Verogen ForenSeq DNA Signature Prep kit,,,,,,Used in protocol 17d210 (Verogen ForenSeq DNA Signature Prep Kit Part 1/5: PCR1 Setup)
WB1,,,,,,Used in protocol gna_octea (Automated Sample Prep for GNA Octea)
iAMP® COVID-19 Detection Kit,,,,,,Used in protocol onsite_atila_saliva384_pt1 (Atila iAMP COVID-19 Detection Kit - Saliva (Pt.1))
kit name when applicable,,,,,,Used in protocol sci-roche-hyperprep (Roche HyperPrep)
rhAmpSeq Library Preparation,,,,,,Used in protocol onsite-ganda-1 (rhAmpSeq Library Prep Part 1 - PCR 1)
water,,,,,,Used in protocol 121d15-4 (Manual Cleave Elution)
